Activated dendritic cell,Adipocyte,B cell,B10 Regulatory B cell,Basal gland mucous cell,CD4+ T cell,CD8 T cell,CD8+ T cell,CMP cell,Cancer cell,Cancer stem cell,Central memory T cell,Central memory T cell precursor,Chief cell,Cytotoxic T cell,Cytotoxic cell,Dendritic cell,Diffuse gastric cancer cell,Effector T(Teff) cell,Effector memory T cell,Endocrine cell,Endothelial cell,Enterocyte,Enteroendocrine cell,Eosinophil,Epithelial cell,Exhausted T(Tex) cell,Fibroblast,Gamma delta(¦Ã¦Ä) T cell,Gastric mucous neck cell,Gastric stem cell,Gland mucous cell,Goblet cell,HES1High progenitor cell,Immature dendritic cell,Intestinal gastric cancer cell,Intestinal metaplasia cell,Isthmus cell,Lymph vessel cell,M1 macrophage,M2 macrophage,Macrophage,Mast cell,Metaplastic-stem cell,Monocyte,Mucous pit cell,Multipotent progenitor cell,Myeloid cell,Myeloid dendritic cell,NECK cell,Natural killer CD56 bright cell,Natural killer CD56 dim cell,Natural killer cell,Neck cell,Neutrophil,Paneth cell,Parietal cell,Parietal progenitor cell,Pericyte,Pit cell,Pit mucous cell,Pit progenitor cell,Plasma cell,Proliferative cell,Proliferative cell (PC),Pyloric cell,Regulatory T (Treg) cell,Regulatory T(Treg) cell,Smooth muscle cell,Stem cell,Stem-like cell,T cell,T follicular helper(Tfh) cell,T helper 1(Th1) cell,T helper 17(Th17) cell,T helper 2(Th2) cell,T helper(Th) cell,Zymogenic chief cell
,,MS4A1,,,GIMAP7,HAUS3,CD8A,,PDGFRB,CD44,AQP3,,PGA4,,RORA,CD209,,,FLI1,,VWF,,,THBS4,TNFRSF19,,COL6A1,,,,,,,MMP12,,,,,,,ANOS1,SLC24A3,,,,TCIM,,PDCD1LG2,,,,MAPRE3,,FPR2,,,,,GREM2,,ADRA1D,,,,,ICA1,,,SOX2,,CD3G,CXCL13,APOD,,ANK1,BORA,
,,PTPRC,,,LEF1,PRF1,CD8B,,CDH17,CD44,KMT2A,,,,KLRF1,S100A1,,,EZR,,ENG,,,CCR3,KRT18,,S100A4,,,,,,,ABCG2,,,,,,,EMP1,HDC,,,,ZFAND1,,,,,,PRX,,CYP4F3,,,,,ZNF747,,NFIX,,,,,,,,LGR5,,CD2,SIRPG,CSF2,,SNRPD1,ATF2,
,,CD19,,,NOSIP,RBM3,CD3E,,EPCAM,LGR5,STX16,,,,NKG7,,,,EWSR1,,PLVAP,,,GALC,CDH1,,LUM,,,,,,,MS4A6A,,,,,,,ATG7,PTGDS,,,,LGSN,,,,,,NCR1,,SIGLEC5,,,,,RBL1,,TMEM47,,,,,,,,CCKBR,,CD3D,MRTFB,DUSP5,,AHI1,SRSF10,
,,CD79A,,,RPL7,VAMP2,IFNG,,CEACAM5,CD44,CREBZF,,,,,,,,SND1-IT1,,ENG,,,CYSLTR2,KRT19,,THY1,,,,,,,CSF1R,,,,,,,MARCO,CPA3,,,,RPE,,,,,,ALDH1B1,,S100A12,,,,,TFF1,,HSPB8,,,,,,,,LGR5,,NCALD,STK39,APBB2,,IL26,ICOS,
,,TCL1A,,,RPS3A,PPP1R2,GZMA,,MUC16,DLL4,TIMM8A,,,,,,,,RUNX3,,FABP5,,,RCOR3,,,SPARC,,,,,,,F13A1,,,,,,,CD163,HPGD,,,,DTX3L,,,,,,FUT5,,KCNJ15,,,,,GKN1,,YBEY,,,,,,,,THY1,,CD28,CHGB,SYNGR3,,PTGIS,ASF1A,
,,MS4A1,,,TCF7,ZEB1,CD8A,,,,USP9Y,,,,,,,,IL7R,,CD320,,,TKTL1,,,POSTN,,,,,,,VASH1,,,,,,,PCOLCE2,ABCC4,,,,SGK1,,,,,,TCTN2,,CXCR2,,,,,GKN2,,SETD1B,,,,,,,,CD44,,SKAP1,LDLRAD4,BTG3,,HELLS,NAP1L4,
,,SPIB,,,RPL30,ZNF22,,,,,CLUAP1,,,,,,,,CXCR3,,PLVAP,,,CLC,,,ITGB1,,,,,,,SYT17,,,,,,,CTSK,CMA1,,,,PWWP2B,,,,,,ZNF528,,BST1,,,,,GKN1,,LRRFIP2,,,,,,,,LINGO2,,LCK,PASK,DOK5,,DHFR,PHF10,
,,CD19,,,CD3G,TMEM259,,,,,CYLD,,,,,,,,,,VWF,,,CD101,,,MGST1,,,,,,,FZD2,,,,,,,SCG5,MLPH,,,,SNX7,,,,,,PSMD4,,ALPL,,,,,,,WFDC1,,,,,,,,CD24,,BCL11B,B3GAT1,LRRN3,,LAIR2,SEC24C,
,,FAM30A,,,CD3E,APBA2,,,,,ATM,,,,,,,,,,RAMP2,,,KCNH2,,,ACTA2,,,,,,,GUCA1A,,,,,,,CLEC5A,PTGS1,,,,MAML2,,,,,,FGF18,,DYSF,,,,,,,VSNL1,,,,,,,,CXCR4,,SH2D1A,TSHR,DGKI,,GSTA4,BATF,
,,SLC15A2,,,CD40LG,ZFP36L2,,,,,CEP68,,,,,,,,,,CLDN5,,,SIAH1,,,COL6A2,,,,,,,RAP1GAP,,,,,,,CCL7,VWA5A,,,,LRRC57,,,,,,MCM3AP,,MME,,,,,,,KCNMB1,,,,,,,,CD44,,CD96,PVALB,ATP9A,,CENPF,ANP32B,
